Question Number,model-question,Question Text,model-answer,Answer Text,Relevance (0-10),Picture URL,Associated Note #1,Associated Note #2,Associated Note #3,Associated Note #4,Associated Note #5,Dissociated Note #1,Dissociated Note #2,Dissociated Note #3,Dissociated Note #4,Dissociated Note #5,"Recommendation of notes types (eg. citric)
( by Fragrantica classifcation)","Recommendation of notes (eg. lemongrass)
(by Fragrantica classification)",Recommendation of Perfumes
,,,35-50,35-50,,,FLORAL,HERBACIOUS,ALCOHOLIC_DISTILLED,MUSK,,MUSK,SPICY,FRUITY,FLORAL,,"f:Floral, Herbal/ m:Wood, Beverage","f:rosemary, sage, rose, lavender/m:vetiver, absinth, rum",
,,,50+,50+,,,SPICY,ORIENTAL,WOODY,MUSK,ANIMALIC,POWDERY,ALDEHYDE,FLORAL,GOURMANDY,FRUITY,"Oriental, Woody, Spicy, Musk, Resin","cardamom, myrth, cinnamon,nag champa, ",
8,flowers,Tip preferat de flori?,Roses,Trandafiri,9,http://assets.inhabitat.com/wp-content/blogs.dir/1/files/2013/02/Red-Roses-02.jpg,FLORAL,SPICY,ORIENTAL,,,WOODY,HERBACIOUS,AQUATIC,SPICY,,"Oriental, Spicy",,"amouage-lyric,chopard-cashmere,  estee lauder-modern muse le rouge"
,,,Lavender,Lavandă,,http://makeymamas.co.uk/wp-content/uploads/2015/09/tumblr_static_31154-lavender.jpg,FLORAL,POWDERY,ALDEHYDE,,,WOODY,AQUATIC,ANIMALIC,SPICY,,Floral (Poudree),,"jean paul gaultier-le male, prada-amber"
,,,Jasmin,Iasomie,,http://img07.deviantart.net/11d3/i/2006/177/4/5/jasmin_by_kuschelirmel_stock.jpg,FLORAL,GOURMANDY,FRUITY,,,WOODY,SPICY,AQUATIC,,,Sweet,,"michael kors-jasmine now, DKNY(Donna Karan)-pure Verbena"
,,,,,,,,,,,,,,,,,,,
9,smoker,Fumează?,Yes,Da,8,http://www.designofsignage.com/application/symbol/building/image/600x600/smoking-2-circle.jpg,SPICY,ORIENTAL,RESINOUS,WOODY,MUSK,POWDERY,FLORAL,FRUITY,GREEN,HERBACIOUS,"Oriental, Woody, Spicy, Musk, Resin","pepper, sandalwood, oud, agar, hibiscus",
,,,No,Nu,,http://smokendersonline.com/images/HiRes.jpg,FLORAL,FRUITY,GOURMANDY,CITRIC,POWDERY,MUSK,WOODY,ORIENTAL,SPICY,,"Floral, Fruity, Sweet.","iris, violet, jasmine, mango",
10,personality,Tip de personalitate?,Introvert,Introvertită,7,http://images.medicaldaily.com/sites/medicaldaily.com/files/2014/03/18/introvert-reading-book.jpg,FLORAL,GOURMANDY,TEA,HERBACIOUS,,WOODY,MUSK,ORIENTAL,SPICY,,"Sweet, Floral, Fruit,Natural","sugarcane, liliac,vanilla,white tea mandarin",
,,,Extrovert,Extrovertită,,http://www.countrynegril.com/wp-content/uploads/2014/04/123507119.jpg,SPICY,WOODY,ORIENTAL,MUSK,ANIMALIC,AQUATIC,TEA,FRUITY,FLORAL,,"Spicy, Woody. Oriental, Musk","musk, clove, cinnamon, saffron, ",
11,season,Sezonul în care va purta parfumul?,Winter,Iarnă,8,https://upload.wikimedia.org/wikipedia/commons/3/3f/Falk_Oberdorf_Wiehengebirge_Winter_Heidbrink.JPG,SPICY,ORIENTAL,WOODY,LEATHER,,FLORAL,FRUITY,POWDERY,ALDEHYDE,,Spicy (eau de perfume/ perfume lejerre),"patchouli, pepper, amber, myrrh",
,,,Summer,Vară,,https://imagesus-ssl.homeaway.com/mda01/5fd5d289-03c5-4125-9c84-e58b61bdba46.1.10,POWDERY,FLORAL,FRUITY,AQUATIC,CITRIC,SPICY,ORIENTAL,WOODY,ANIMALIC,MUSK,Fresh (eau de toilette/intense),"bergamot, lemongrass, red rose,green clover, sage",
12,lifestyle,Stil de viață,Dynamic,Dinamic,7,http://www.thefashionisto.com/wp-content/uploads/2013/08/run001.jpg,WOODY,SPICY,MUSK,BALSAMIC,MINERAL,FLORAL,POWDERY,ALDEHYDE,AQUATIC,GREEN,"Wood, Spicy, Musk, ","red orange, patchouli, corriander",
,,,Calm,Calm,,http://static1.squarespace.com/static/52f48a80e4b0b3416ff76824/t/5327b2b2e4b0090c6eb6b807/1395110582556/chiropractor-orange-osteoarthritis,FLORAL,FRUITY,TEA,POWDERY,GRAIN,WOODY,SPICY,BALSAMIC,MINERAL,MUSK,"Floral (Poudree) Sweet, ","chai tea, jasmine, rose,fresh air",
13,blood-type,Grupă sanguină,Zero,Zero,0,,FLORAL,FRUITY,HERBACIOUS,,,WOODY,SPICY,ORIENTAL,MUSK,,"Floral, Fruit, Herbal",,
,,,A,A,,,WOODY,,,,,FLORAL,,,,,"Wood,?,?",,
,,,B,B,,,LEATHER,,,,,FLORAL,FRUITY,,,,"Leather,?,?",,
,,,AB,AB,,,MUSK,CITRIC,,,,POWDERY,AQUATIC,,,,"Musk, Citrus,?",,
14,humidity,Umiditatea climei în care va purta parfumul?,Humid,Umedă,6,http://www.oddizzi.com/wp-content/uploads/2012/12/img-rainforest-tropicalrain_big.jpg,HERBACIOUS,TEA,EARTHY,,,BEVERAGES,SPICY,MINERAL,,,"Herbal, ","absinth, chai, shea, ",
,,,Average,Normală,,http://miriadna.com/desctopwalls/images/max/Ideal-landscape.jpg,SPICY,WOODY,CITRIC,,,MINERAL,POWDERY,ALDEHYDE,,,"Spicy, Wood, Citrus","patchouli, white musk, ",
,,,Dry,Uscată,,http://images.wisegeek.com/sandy-pyramid-in-egypt.jpg,FLORAL,GOURMANDY,GREEN,,,WOODY,SPICY,MINERAL,,,"Floral, Fresh, Sweet","violet, apricot, coconut, ",
15,intention,Care e relația ta cu persoana care va purta parfumul?,Romantic,romantică,6,http://www.vamshare.com/wp-content/uploads/2014/06/holding-hands.jpg,ORIENTAL,SPICY,BALSAMIC,MUSK,,FLORAL,FRUITY,POWDERY,CITRIC,,"Oriental, Spicy","ginger,cardamom, cacao, corriander, myrrh,red rose, pepper, honey",
,,,Professional,Profesională,,http://ftp.inkermanscreening.com/wp-content/uploads/2014/04/bigstock-Group-of-happy-young-business-38908093.jpg,CITRIC,MUSK,BEVERAGES,,,FLORAL,TEA,AQUATIC,MINERAL,,"Citrus, Musk, Beverage","orange, musk, rum, ",
,,,Family,Familială,,http://www.lgrc.us/wp-content/uploads/2014/04/family-silhouette1.png,FLORAL,FRUITY,GOURMANDY,,,WOODY,SPICY,HERBACIOUS,,,"Floral, Fruit, Sweet","jasmine, mango, peach, sugar",
16,occasion,Cu ce ocazie va purta persoana parfumul cel mai des?,Leisure,Agrement,7,http://www.fantasytravelofgreece.com/sites/default/files/blog/greece-coffee-culture/friends-coffee-talking-drinking-job-meeting-01.jpg,FLORAL,ALDEHYDE,POWDERY,FRUITY,,WOODY,SPICY,ORIENTAL,MUSK,MINERAL,"Floral, Sweet, ","magnolia, liliac, iris",
,,,night-out,Ieșire în oraș,,http://everyguyed.com/wp-content/uploads/2010/12/how-to-dress-for-a-night-out.jpg,SPICY,ORIENTAL,WOODY,MUSK,,FLORAL,POWDERY,FRUITY,,,"Spicy, Oriental","saffran, nag champa, black pepper",
,,,Evening,Pentru seară,,http://brierdunn.com/wp-content/uploads/2014/01/Silver-Oak-outdoor-evening.jpg,WOODY,MOSSY,HERBACIOUS,LEATHER,,FRUITY,ALDEHYDE,POWDERY,,,Wood,"vetiver, sandalwood, cedar",
,,,Daily,Pentru zi,,https://cache.nebula.phx3.secureserver.net/obj/MTUyNEQ3ODYyQjU0MzI4NEI3RkU6YmRmYWJkZmZmZWE5NzRjYjZmODVhZTg4ZTQzNTE1Y2Y=,CITRIC,FLORAL,GOURMANDY,FRUITY,,WOODY,ORIENTAL,SPICY,MUSK,,"Citrus, Floral, Sweet","bergamot, grapefruit, liliac, sugar",
,,,Sport,Pentru sport,,http://greatist.com/sites/default/files/styles/big_share/public/walking-vs-running-feature.jpg?itok=n9Ty0YN-,CITRIC,FRUITY,HERBACIOUS,GREEN,,SPICY,ORIENTAL,MUSK,MINERAL,,"Citrus, Fresh,Fruit, Herbal","hemp, mint, orange",
,,,Business,Pentru birou,,http://businessetup.com/wp-content/uploads/2013/01/business-setup-in-dubai-with-difference.jpg,MUSK,WOODY,ANIMALIC,AMBER,TOBBACO,FLORAL,CITRIC,TEA,AQUATIC,,Musk,"white musk, aged oud",
17,color,Culoare preferată?,Red,roșu,7,http://www.colorcombos.com/images/colors/FF0000.png,ORIENTAL,SPICY,ANIMALIC,,,POWDERY,ALDEHYDE,HERBACIOUS,,,oriental,"nutmeg, cinnamon, amber","guerlain-shalimar, boucheron-jaipur"
,,,Green,verde,,https://s.graphiq.com/sites/default/files/2307/media/images/t2/Google_Green_1409371.png,WOODY,MOSSY,HERBACIOUS,,,AQUATIC,CITRIC,POWDERY,,,"wood, herbal, ","vetiver, sandalwood, cedar, musk",Dsquared-she wood/he wood
,,,Blue,albastru,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Solid_blue.svg/2000px-Solid_blue.svg.png,AQUATIC,GREEN,TEA,FLORAL,,CITRIC,FRUITY,ANIMALIC,SPICY,,,"mint, fresh,marine","Bvlgari-aqva/aqva amara(for men), Davidoff-sea rose(coral reef) for w"
,,,Pink,roz,,https://s.graphiq.com/sites/default/files/2307/media/images/t2/Princess_Pink_430148_i0.png,FLORAL,POWDERY,GOURMANDY,,,MUSK,ORIENTAL,SPICY,,,floral poudree,"liliac, violet,",
,,,Black,negru,,http://www.ledr.com/colours/black.jpg,SPICY,ALCOHOLIC_DISTILLED,TOBBACO,,,POWDERY,ALDEHYDE,AQUATIC,,,"spicy, beverage","leather, rum, whiskey,",
,,,White,alb,,http://www.colorcombos.com/images/colors/FFFFFF.png,FLORAL,TEXTILE,TEA,GREEN,,ANIMALIC,WOODY,MUSK,BEVERAGES,,"floral, ","lilly of the valley, jasmine",
,,,Purple,violet,,http://images.sodahead.com/polls/003698835/052400565_Purple_xlarge.png,FLORAL,AMBER,ORIENTAL,BALSAMIC,,FRUITY,MOSSY,POWDERY,AQUATIC,,,"bergamot, amber",
,,,Yellow,galben,,http://www.colorcombos.com/images/colors/FFCC00.png,GREEN,TEA,GRAIN,TEXTILE,,ORIENTAL,SPICY,MINERAL,WOODY,,,"lemon, spearmint",
,,,Grey,gri,,http://www.colorcombos.com/images/colors/666666.png,MINERAL,SMOKY,SPICY,,,FLORAL,POWDERY,CITRIC,,,,metalic,
,,,Orange,oranj,,http://www.solidbackgrounds.com/images/2560x1440/2560x1440-orange-color-wheel-solid-color-background.jpg,CITRIC,FRUITY,SYNTHETIC,FLORAL,,WOODY,ORIENTAL,SPICY,MUSK,,,tuberose,
18,,Ce emoție vrei să simtă persoana care va purta parfumul?,Curiosity,Curiosity,0,,,,,,,,,,,,,,
,,https://en.wikipedia.org/wiki/Contrasting_and_categorization_of_emotions,Desire,Desire,,,,,,,,,,,,,,,
,,,Surprize,Surprize,,,,,,,,,,,,,,,
,,,Gratitude,Gratitude,,,,,,,,,,,,,,,
,,,Joy,Joy,,,,,,,,,,,,,,,
,,,Relief,Relief,,,,,,,,,,,,,,,
,,,Hope,Hope,,,,,,,,,,,,,,,
,,,Generosity,Generosity,,,,,,,,,,,,,,,
,,,Sympathy,Sympathy,,,,,,,,,,,,,,,
,,,Love,Love,,,,,,,,,,,,,,,
19,,Ce emoție vrei să proiecteze în jur persoana care va purta parfumul?,Curiosity,Curiosity,0,,,,,,,,,,,,,,
,,https://en.wikipedia.org/wiki/Contrasting_and_categorization_of_emotions,Desire,Desire,,,,,,,,,,,,,,,
,,,Surprize,Surprize,,,,,,,,,,,,,,,
,,,Gratitude,Gratitude,,,,,,,,,,,,,,,
,,,Joy,Joy,,,,,,,,,,,,,,,
,,,Relief,Relief,,,,,,,,,,,,,,,
,,,Hope,Hope,,,,,,,,,,,,,,,
,,,Generosity,Generosity,,,,,,,,,,,,,,,
,,,Sympathy,Sympathy,,,,,,,,,,,,,,,
,,,Love,Love,,,,,,,,,,,,,,,
20,vacation-spot,Locul preferat de vacanță?,Sea,Mare,6,,AQUATIC,FLORAL,CITRIC,BEVERAGES,,WOODY,MUSK,ORIENTAL,MINERAL,,,,
,,,Mountains,Munte,,,WOODY,MOSSY,MUSK,EARTHY,HERBACIOUS,AQUATIC,FLORAL,FRUITY,,,,,
,,,Crowded city,City-break,,,MUSK,SPICY,ORIENTAL,MINERAL,ALCOHOLIC_DISTILLED,POWDERY,FLORAL,ALDEHYDE,TEA,,,,
,,,Quiet rural town,Rustic,,,POWDERY,CITRIC,FLORAL,GREEN,TEXTILE,WOODY,ORIENTAL,SPICY,,,,,
21,music,Musica preferată?,Pop,Pop,6,,FLORAL,GOURMANDY,ORIENTAL,SPICY,LEATHER,POWDERY,CITRIC,MINERAL,AQUATIC,,,,
,,,r-n-b,R&B,,,ANIMALIC,FLORAL,BALSAMIC,ALDEHYDE,CITRIC,WOODY,HERBACIOUS,GREEN,MINERAL,,,,
,,,Jazz-Indie,Jazz-Indie,,,ORIENTAL,WOODY,LEATHER,MUSK,FLORAL,POWDERY,TEA,GREEN,CITRIC,,,,
,,,Rock-Punk,Rock-Punk,,,WOODY,MUSK,ANIMALIC,SPICY,MINERAL,FLORAL,FRUITY,POWDERY,TEA,AQUATIC,,,
,,,Classical,Clasică,,,FLORAL,POWDERY,FRUITY,SMOKY,LEATHER,WOODY,ORIENTAL,SPICY,GOURMANDY,,,,
23,perfume-personality,Ce personalitate vrei să aibă parfumul?,Sexy,Sexy,7,,FLORAL,GOURMANDY,ORIENTAL,SPICY,LEATHER,POWDERY,CITRIC,MINERAL,AQUATIC,,,,
,,,Mysterious,Misterios,,,ORIENTAL,WOODY,LEATHER,MUSK,FLORAL,POWDERY,TEA,GREEN,CITRIC,,,,
,,,Elegant,Elegant,,,FLORAL,POWDERY,FRUITY,SMOKY,LEATHER,WOODY,ORIENTAL,SPICY,GOURMANDY,,,,
,,,Flirty,Flirty,,,ANIMALIC,FLORAL,BALSAMIC,ALDEHYDE,CITRIC,WOODY,HERBACIOUS,GREEN,MINERAL,,,,
,,,Clean,Curat,,,HERBACIOUS,TEA,TEXTILE,FLORAL,POWDERY,WOODY,ORIENTAL,SPICY,MUSK,,,,
,,,Strong,Impunător,,,WOODY,MUSK,ANIMALIC,SPICY,MINERAL,FLORAL,FRUITY,POWDERY,TEA,AQUATIC,,,
