Question Number,model-question,Question Text,model-answer,Answer Text,Relevance (0-10),Picture URL,Associated Note #1,Associated Note #2,Associated Note #3,Associated Note #4,Associated Note #5,Dissociated Note #1,Dissociated Note #2,Dissociated Note #3,Dissociated Note #4,Dissociated Note #5,"Recommendation of notes types (eg. citric)
( by Fragrantica classifcation)","Recommendation of notes (eg. lemongrass)
(by Fragrantica classification)",Recommendation of Perfumes
,,,,,,,,,,,,,,,,,,,
7,diet,Dietă?,omnivore,Omnivor,9,http://tinygreenmom.com/wp-content/uploads/2012/04/Grilled-Vegetable-and-Beef-Skewers.jpg,ORIENTAL,SPICY,GOURMANDY,ANIMALIC,MUSK,POWDERY,CITRIC,HERBACIOUS,AQUATIC,FLORAL,,,
,,,vegan,Vegan,,https://s3.amazonaws.com/cdn.atlaswearables.com/blog_banners/slide_1.jpg,FLORAL,FRUITY,HERBACIOUS,CITRIC,POWDERY,ORIENTAL,ANIMALIC,MUSK,BALSAMIC,AMBER,,,
,,,,,,,,,,,,,,,,,,,
8,age,Vârsta?,,15-20,10,,POWDERY,FRUITY,ALDEHYDE,FLORAL,HERBACIOUS,ORIENTAL,MUSK,BALSAMIC,MINERAL,SPICY,,,
,,,,20-25,,,FLORAL,ALDEHYDE,AMBER,MUSK,BALSAMIC,POWDERY,ORIENTAL,SPICY,GREEN,AQUATIC,,,
,,,,25-35,,,FLORAL,ALDEHYDE,AMBER,MUSK,BALSAMIC,POWDERY,ORIENTAL,SPICY,GREEN,AQUATIC,,,
,,,,35-45,,,SPICY,MINERAL,FLORAL,ALDEHYDE,WOODY,MUSK,FRUITY,POWDERY,HERBACIOUS,TEA,,,
,,,,45-50,,,SPICY,MINERAL,FLORAL,ALDEHYDE,WOODY,MUSK,FRUITY,POWDERY,HERBACIOUS,TEA,,,
,,,,peste 50,,,ORIENTAL,BALSAMIC,AMBER,SPICY,FLORAL,ALDEHYDE,FRUITY,CITRIC,GREEN,MOSSY,,,
,,,,,,,,,,,,,,,,,,,
9,flowers,Tip preferat de flori?,Roses,Trandafiri,9,http://assets.inhabitat.com/wp-content/blogs.dir/1/files/2013/02/Red-Roses-02.jpg,FLORAL,SPICY,ORIENTAL,MINERAL,SMOKY,WOODY,HERBACIOUS,AQUATIC,GREEN,FRUITY,,,
,,,Lavender,Lavandă,,http://makeymamas.co.uk/wp-content/uploads/2015/09/tumblr_static_31154-lavender.jpg,FLORAL,POWDERY,ALDEHYDE,GREEN,,WOODY,AQUATIC,ANIMALIC,SPICY,AMBER,,,
,,,Jasmin,Iasomie,,http://img07.deviantart.net/11d3/i/2006/177/4/5/jasmin_by_kuschelirmel_stock.jpg,FLORAL,GOURMANDY,FRUITY,AQUATIC,POWDERY,WOODY,SPICY,MUSK,SYNTHETIC,ALDEHYDE,,,
,,,Lilly-of-the-valley,Lacramioare,,http://www.hotelalpin.ro/wp-content/uploads/2014/05/Sursa-foto-1.jpg,FLORAL,POWDERY,AQUATIC,BEVERAGES,,ORIENTAL,WOODY,SPICY,AMBER,RESINOUS,,,
,,,Liliac,Liliac,,http://fs66.trilulilu.ro/imgs/mdm/flori-de-liliac-ti-am-adus-in-dar_aaf46e7b90be30.jpg?size=original,FLORAL,POWDERY,MOSSY,ALDEHYDE,ORIENTAL,ORIENTAL,SPICY,MUSK,FRUITY,EARTHY,,,
,,,Tulips,Lalele,,http://4.bp.blogspot.com/-I068RbI2nzI/TWYyETviqgI/AAAAAAAAADY/7V85sPRl_HY/s1600/lalele_Veronique_elvetiene.jpg,FLORAL,HERBACIOUS,CITRIC,POWDERY,GREEN,WOODY,ORIENTAL,SPICY,AMBER,,,,
,,,,,,,,,,,,,,,,,,,
10,smoker,Fumător?,Yes,Da,8,http://www.designofsignage.com/application/symbol/building/image/600x600/smoking-2-circle.jpg,SPICY,ORIENTAL,BALSAMIC,MUSK,MINERAL,FLORAL,FRUITY,ALDEHYDE,CITRIC,AQUATIC,,,
,,,No,Nu,,http://smokendersonline.com/images/HiRes.jpg,FRUITY,FLORAL,ALDEHYDE,CITRIC,WOODY,ORIENTAL,MINERAL,MUSK,AMBER,,,,
,,,,,,,,,,,,,,,,,,,
11,personality,Tip de personalitate?,Introvert,Introvertită,7,http://images.medicaldaily.com/sites/medicaldaily.com/files/2014/03/18/introvert-reading-book.jpg,FLORAL,GOURMANDY,HERBACIOUS,CITRIC,POWDERY,ORIENTAL,MUSK,SPICY,BALSAMIC,AMBER,,,
,,,Extrovert,Extrovertită,,http://www.countrynegril.com/wp-content/uploads/2014/04/123507119.jpg,ORIENTAL,SPICY,WOODY,LEATHER,RESINOUS,FLORAL,FRUITY,POWDERY,ALDEHYDE,GOURMANDY,,,
,,,,,,,,,,,,,,,,,,,
12,season,Sezonul în care se va purta parfumul?,Winter,Iarnă,8,https://upload.wikimedia.org/wikipedia/commons/3/3f/Falk_Oberdorf_Wiehengebirge_Winter_Heidbrink.JPG,ORIENTAL,SPICY,MUSK,RESINOUS,AMBER,FLORAL,POWDERY,HERBACIOUS,GREEN,CITRIC,,,
,,,Autumn,Toamnă,,http://fs72.trilulilu.ro/imgs/ticandru/peisaj-de-toamna-11_29f0f50fb9b9a9.jpg?size=original,ORIENTAL,SPICY,MUSK,RESINOUS,AMBER,FLORAL,POWDERY,HERBACIOUS,GREEN,CITRIC,,,
,,,Spring,Primăvară,,https://userscontent2.emaze.com/images/0e9eb112-2a4e-497d-a719-9165b7a93208/805e53fa-dd81-43f9-826a-d69082d37dd7.jpg,FLORAL,FRUITY,ALDEHYDE,AQUATIC,CITRIC,ORIENTAL,MUSK,AMBER,GOURMANDY,BALSAMIC,,,
,,,Summer,Vară,,https://imagesus-ssl.homeaway.com/mda01/5fd5d289-03c5-4125-9c84-e58b61bdba46.1.10,FLORAL,FRUITY,ALDEHYDE,AQUATIC,CITRIC,ORIENTAL,MUSK,AMBER,GOURMANDY,BALSAMIC,,,
,,,,,,,,,,,,,,,,,,,
13,lifestyle,Stil de viață?,Dynamic,Dinamic,7,http://www.thefashionisto.com/wp-content/uploads/2013/08/run001.jpg,FRUITY,FLORAL,AMBER,LEATHER,BALSAMIC,ORIENTAL,MUSK,WOODY,GOURMANDY,ALDEHYDE,,,
,,,Sporty,Sportiv,,https://www.lifefitness.com/assets/static-assets/image/2.10.15GymDuringColdMonths.jpg,CITRIC,FRUITY,AQUATIC,ALDEHYDE,GREEN,WOODY,MUSK,SPICY,ANIMALIC,FLORAL,,,
,,,family-person,Familist,,http://cdn.shareyouressays.com/wp-content/uploads/2015/10/family-picnic-outdoors-meals-summer.jpg,POWDERY,FLORAL,TEA,HERBACIOUS,AQUATIC,AMBER,BALSAMIC,WOODY,MUSK,GOURMANDY,,,
,,,party-animal,Petrecaret,,http://theplanningcompany.net/wp-content/uploads/2015/10/Coed.jpg,SPICY,ANIMALIC,MUSK,WOODY,ORIENTAL,POWDERY,ALDEHYDE,FLORAL,FRUITY,AQUATIC,,,
,,,Calm,Calm,,http://static1.squarespace.com/static/52f48a80e4b0b3416ff76824/t/5327b2b2e4b0090c6eb6b807/1395110582556/chiropractor-orange-osteoarthritis,TEA,GREEN,POWDERY,AQUATIC,,ORIENTAL,MUSK,AMBER,SPICY,ANIMALIC,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
15,occasion,Cu ce ocazie se va purta parfumul cel mai des?,Leisure,Agrement,7,http://www.fantasytravelofgreece.com/sites/default/files/blog/greece-coffee-culture/friends-coffee-talking-drinking-job-meeting-01.jpg,FLORAL,ALDEHYDE,POWDERY,FRUITY,CITRIC,ORIENTAL,SPICY,MUSK,WOODY,LEATHER,,,
,,,night-out,Ieșire în oraș,,http://everyguyed.com/wp-content/uploads/2010/12/how-to-dress-for-a-night-out.jpg,AMBER,ORIENTAL,WOODY,MUSK,SPICY,FLORAL,FRUITY,POWDERY,ALDEHYDE,TEXTILE,,,
,,,Evening,Pentru seară,,http://brierdunn.com/wp-content/uploads/2014/01/Silver-Oak-outdoor-evening.jpg,ORIENTAL,AMBER,SPICY,LEATHER,GOURMANDY,FLORAL,ALDEHYDE,CITRIC,HERBACIOUS,AQUATIC,,,
,,,Daily,Pentru zi,,https://cache.nebula.phx3.secureserver.net/obj/MTUyNEQ3ODYyQjU0MzI4NEI3RkU6YmRmYWJkZmZmZWE5NzRjYjZmODVhZTg4ZTQzNTE1Y2Y=,CITRIC,FLORAL,ALDEHYDE,FRUITY,AQUATIC,ORIENTAL,BALSAMIC,AMBER,ALDEHYDE,HERBACIOUS,,,
,,,Sport,Pentru sport,,http://greatist.com/sites/default/files/styles/big_share/public/walking-vs-running-feature.jpg?itok=n9Ty0YN-,CITRIC,FRUITY,AQUATIC,GREEN,HERBACIOUS,WOODY,MUSK,ORIENTAL,AMBER,GOURMANDY,,,
,,,Business,Pentru birou,,http://businessetup.com/wp-content/uploads/2013/01/business-setup-in-dubai-with-difference.jpg,MUSK,WOODY,LEATHER,AMBER,SPICY,FLORAL,POWDERY,ALDEHYDE,CITRIC,FRUITY,,,
,,,,,,,,,,,,,,,,,,,
16,color,Culoare preferată?,Red,roșu,7,,ORIENTAL,SPICY,AMBER,ANIMALIC,MINERAL,AQUATIC,FRUITY,CITRIC,FLORAL,ALDEHYDE,,,
,,,Green,verde,,,HERBACIOUS,ALDEHYDE,WOODY,MOSSY,GREEN,WOODY,ORIENTAL,SPICY,AMBER,BALSAMIC,,,
,,,Blue,albastru,,,AQUATIC,FLORAL,GREEN,ALDEHYDE,,ORIENTAL,SPICY,BALSAMIC,WOODY,MUSK,,,
,,,Pink,roz,,,FLORAL,POWDERY,FRUITY,GOURMANDY,SPICY,MUSK,BALSAMIC,LEATHER,HERBACIOUS,CITRIC,,,
,,,Black,negru,,,ORIENTAL,MUSK,BALSAMIC,SPICY,WOODY,FLORAL,POWDERY,FRUITY,CITRIC,ALDEHYDE,,,
,,,White,alb,,,TEXTILE,POWDERY,AQUATIC,ALDEHYDE,,SPICY,MUSK,WOODY,LEATHER,FRUITY,,,
,,,Purple,violet,,,FLORAL,SPICY,BALSAMIC,AMBER,MINERAL,CITRIC,ALDEHYDE,FRUITY,GREEN,ALDEHYDE,,,
,,,Yellow,galben,,,CITRIC,HERBACIOUS,GREEN,ALDEHYDE,,ORIENTAL,MUSK,SPICY,WOODY,GOURMANDY,,,
,,,Grey,gri,,,MINERAL,WOODY,SPICY,SMOKY,ORIENTAL,FLORAL,CITRIC,FRUITY,ALDEHYDE,AQUATIC,,,
,,,Orange,oranj,,,AMBER,BALSAMIC,FRUITY,SYNTHETIC,SPICY,WOODY,MOSSY,HERBACIOUS,BEVERAGES,GOURMANDY,,,
,,,,,,,,,,,,,,,,,,,
17,vacation-spot,Locul preferat de vacanță?,Sea,Mare,6,,AQUATIC,CITRIC,FRUITY,POWDERY,FLORAL,ORIENTAL,SPICY,AMBER,MINERAL,MUSK,,,
,,,Mountains,Munte,,,MOSSY,HERBACIOUS,GREEN,CITRIC,WOODY,FLORAL,POWDERY,FRUITY,AQUATIC,ALDEHYDE,,,
,,,city-break,City-break,,,SPICY,MUSK,FLORAL,BALSAMIC,AMBER,FLORAL,ALDEHYDE,GREEN,MINERAL,AQUATIC,,,
,,,rustic,Rustic,,,HERBACIOUS,MUSK,WOODY,CITRIC,EARTHY,SPICY,ANIMALIC,GOURMANDY,RESINOUS,MINERAL,,,
,,,,,,,,,,,,,,,,,,,
18,music,Muzica preferată?,Pop,Pop,6,,FLORAL,GOURMANDY,POWDERY,FRUITY,AQUATIC,SPICY,ORIENTAL,MUSK,WOODY,RESINOUS,,,
,,,r-n-b,R&B,,,ANIMALIC,ORIENTAL,BALSAMIC,SPICY,MUSK,FLORAL,FRUITY,ALDEHYDE,POWDERY,GOURMANDY,,,
,,,Jazz-Indie,Jazz-Indie,,,SPICY,WOODY,LEATHER,MUSK,SPICY,POWDERY,ALDEHYDE,CITRIC,HERBACIOUS,GREEN,,,
,,,Rock-Punk,Rock-Punk,,,WOODY,MUSK,ANIMALIC,SPICY,ORIENTAL,FLORAL,ALDEHYDE,FRUITY,AQUATIC,HERBACIOUS,,,
,,,Classical,Clasică,,,FLORAL,POWDERY,FRUITY,SMOKY,LEATHER,ANIMALIC,MUSK,WOODY,MINERAL,,,,
,,,,,,,,,,,,,,,,,,,
19,perfume-personality,Ce atitudine vrei să confere parfumul?,Sexy,Sexy,7,,RESINOUS,GOURMANDY,ORIENTAL,SPICY,LEATHER,FLORAL,FRUITY,ALDEHYDE,CITRIC,HERBACIOUS,,,
,,,Mysterious,Misterios,,,SPICY,AMBER,BALSAMIC,FRUITY,FLORAL,AQUATIC,GREEN,LEATHER,POWDERY,GOURMANDY,,,
,,,Elegant,Elegant,,,FLORAL,POWDERY,FRUITY,SMOKY,LEATHER,WOODY,MUSK,MOSSY,HERBACIOUS,GREEN,,,
,,,Flirty,Flirty,,,ANIMALIC,FLORAL,BALSAMIC,SPICY,CITRIC,POWDERY,FRUITY,GREEN,AMBER,ORIENTAL,,,
,,,Clean,Curat,,,HERBACIOUS,TEA,AQUATIC,FLORAL,POWDERY,WOODY,ORIENTAL,SPICY,MUSK,FRUITY,,,
,,,Strong,Impunător,,,ORIENTAL,MUSK,SPICY,AMBER,BALSAMIC,FLORAL,FRUITY,POWDERY,TEA,AQUATIC,,,
