Question Number,model-question,Question Text,model-answer,Answer Text,Relevance (0-10),Picture URL,Associated Note #1,Associated Note #2,Associated Note #3,Associated Note #4,Associated Note #5,Dissociated Note #1,Dissociated Note #2,Dissociated Note #3,Dissociated Note #4,Dissociated Note #5,"Recommendation of notes types (eg. citric)
( by Fragrantica classifcation)","Recommendation of notes (eg. lemongrass)
(by Fragrantica classification)",Recommendation of Perfumes
3,age-group,Vârsta?,,15-20,10,,CITRIC,FRUITY,WOODY,GREEN,AQUATIC,SPICY,ORIENTAL,ANIMALIC,MUSK,RESINOUS,,,
,,,,20-25,,,CITRIC,AQUATIC,RESINOUS,HERBACIOUS,EARTHY,ORIENTAL,SPICY,WOODY,FLORAL,SMOKY,,,
,,,,25-35,,,WOODY,EARTHY,CITRIC,MUSK,GREEN,FLORAL,POWDERY,ALDEHYDE,TEA,HERBACIOUS,,,
,,,,35-45,,,WOODY,MUSK,LEATHER,GOURMANDY,HERBACIOUS,POWDERY,FRUITY,ALDEHYDE,FLORAL,AMBER,,,
,,,,45-50,,,SPICY,WOODY,ORIENTAL,AMBER,BALSAMIC,FLORAL,FRUITY,CITRIC,GRAIN,TEXTILE,,,
,,,,peste 50,,,WOODY,ANIMALIC,SPICY,SMOKY,LEATHER,FLORAL,FRUITY,AQUATIC,POWDERY,ALDEHYDE,,,
,,,,,,,,,,,,,,,,,,,
4,skin-complexion,Nuanța pielii?,Dark,Închis,10,?,WOODY,ORIENTAL,AMBER,HERBACIOUS,LEATHER,FLORAL,ALDEHYDE,POWDERY,AQUATIC,MOSSY,,,
,,,Average,Mediu,,?,CITRIC,EARTHY,WOODY,MUSK,ANIMALIC,POWDERY,FRUITY,TEXTILE,FLORAL,,,,
,,,Light,Deschis,,?,GREEN,FLORAL,AQUATIC,MUSK,BALSAMIC,SPICY,ORIENTAL,AMBER,ANIMALIC,WOODY,,,
,,,,,,,,,,,,,,,,,,,
5,skin-type-male,Tip de piele?,Oily,Uleios,10,?,GREEN,HERBACIOUS,CITRIC,AQUATIC,FLORAL,SPICY,ORIENTAL,WOODY,AMBER,ANIMALIC,,,
,,,Dry,Uscat,,?,ORIENTAL,SPICY,AMBER,SMOKY,LEATHER,FRUITY,FLORAL,POWDERY,ALDEHYDE,MOSSY,,,
,,,Mixed,Mixt,,?,ALDEHYDE,FRUITY,HERBACIOUS,BALSAMIC,MUSK,ANIMALIC,SPICY,SYNTHETIC,ORIENTAL,WOODY,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
6,spicy,Mâncare picantă?,Yes,Da,10,http://www.popsci.com/sites/popsci.com/files/styles/medium_1x_/public/import/2013/images/2012/12/chilis.jpg?itok=x2wjzsTE,SPICY,AMBER,WOODY,LEATHER,ORIENTAL,POWDERY,FLORAL,ALDEHYDE,FRUITY,GREEN,,,
,,,No,Nu,,http://rxvisual.com/wp-content/uploads/2015/06/No-chili-spicy-food-allowed-hemorrhoids-remedy-treatment-cure-medicine-rxvisual.jpg,CITRIC,GREEN,HERBACIOUS,ALDEHYDE,FLORAL,ORIENTAL,SPICY,ANIMALIC,AMBER,WOODY,,,
,,,,,,,,,,,,,,,,,,,
7,diet,Dieta?,Vegan ,Vegan,8,http://tinygreenmom.com/wp-content/uploads/2012/04/Grilled-Vegetable-and-Beef-Skewers.jpg,AQUATIC,FRUITY,AMBER,CITRIC,EARTHY,ANIMALIC,MUSK,ORIENTAL,LEATHER,WOODY,,,
,,,omnivore,Omnivor,,https://s3.amazonaws.com/cdn.atlaswearables.com/blog_banners/slide_1.jpg,WOODY,SPICY,FLORAL,ORIENTAL,GOURMANDY,CITRIC,POWDERY,ALDEHYDE,MOSSY,BALSAMIC,,,
,,,,,,,,,,,,,,,,,,,
8,smoker,Fumător?,Yes,Da,10,http://www.designofsignage.com/application/symbol/building/image/600x600/smoking-2-circle.jpg,SPICY,ORIENTAL,MUSK,AMBER,BALSAMIC,CITRIC,GREEN,ALDEHYDE,GRAIN,,,,
,,,No,Nu,,http://smokendersonline.com/images/HiRes.jpg,MUSK,GREEN,CITRIC,HERBACIOUS,WOODY,ORIENTAL,SPICY,SMOKY,LEATHER,AMBER,,,
,,,,,,,,,,,,,,,,,,,
9,personality,Tip de personalitate?,Introvert-male,Introvertit,8,http://afflictor.com/wp-content/uploads/2015/03/man_reading.jpg,GREEN,HERBACIOUS,WOODY,CITRIC,BEVERAGES,ORIENTAL,MINERAL,AMBER,RESINOUS,MOSSY,,,
,,,Extrovert,Extrovertit,,http://www.countrynegril.com/wp-content/uploads/2014/04/123507119.jpg,MUSK,SPICY,TOBBACO,LEATHER,AMBER,GREEN,AQUATIC,POWDERY,ALDEHYDE,,,,
,,,,,,,,,,,,,,,,,,,
10,season,Sezonul în care se va purta parfumul?,Winter,Iarnă,7,https://upload.wikimedia.org/wikipedia/commons/3/3f/Falk_Oberdorf_Wiehengebirge_Winter_Heidbrink.JPG,SPICY,ORIENTAL,WOODY,AMBER,RESINOUS,FLORAL,FRUITY,ALDEHYDE,GREEN,,,,
,,,Autumn,Toamnă,,http://fs72.trilulilu.ro/imgs/ticandru/peisaj-de-toamna-11_29f0f50fb9b9a9.jpg?size=original,SPICY,ORIENTAL,WOODY,AMBER,RESINOUS,FLORAL,FRUITY,ALDEHYDE,GREEN,,,,
,,,Spring,Primăvară,,https://userscontent2.emaze.com/images/0e9eb112-2a4e-497d-a719-9165b7a93208/805e53fa-dd81-43f9-826a-d69082d37dd7.jpg,AQUATIC,CITRIC,MOSSY,HERBACIOUS,GREEN,ORIENTAL,SPICY,MINERAL,WOODY,MUSK,,,
,,,Summer,Vară,,https://imagesus-ssl.homeaway.com/mda01/5fd5d289-03c5-4125-9c84-e58b61bdba46.1.10,AQUATIC,CITRIC,MOSSY,HERBACIOUS,GREEN,ORIENTAL,SPICY,MINERAL,WOODY,MUSK,,,
,,,,,,,,,,,,,,,,,,,
11,lifestyle,Stil de viață?,Dynamic-male,Dinamic,8,http://www.thefashionisto.com/wp-content/uploads/2013/08/run001.jpg,WOODY,MUSK,ORIENTAL,BALSAMIC,RESINOUS,FLORAL,POWDERY,ALDEHYDE,TEA,AQUATIC,,,
,,,Sporty,Sportiv,,https://www.lifefitness.com/assets/static-assets/image/2.10.15GymDuringColdMonths.jpg,CITRIC,AQUATIC,HERBACIOUS,WOODY,ALDEHYDE,ORIENTAL,AMBER,SPICY,MUSK,MOSSY,,,
,,,family-person,Familist,,http://cdn.shareyouressays.com/wp-content/uploads/2015/10/family-picnic-outdoors-meals-summer.jpg,MOSSY,LEATHER,MUSK,BALSAMIC,FLORAL,GOURMANDY,ORIENTAL,WOODY,MINERAL,SPICY,,,
,,,party-animal,Petrecaret,,http://theplanningcompany.net/wp-content/uploads/2015/10/Coed.jpg,ORIENTAL,AMBER,SPICY,BEVERAGES,ANIMALIC,AQUATIC,ALDEHYDE,POWDERY,FRUITY,,,,
,,,Calm-male,Calm,,http://www.mindingthebedside.com/wp-content/uploads/2011/07/man-meditating-by-ocean-back-to-camera.jpg,FRUITY,ALDEHYDE,GREEN,CITRIC,AQUATIC,WOODY,ORIENTAL,RESINOUS,LEATHER,MUSK,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
13,occasion,Cu ce ocazie se va purta parfumul cel mai des?,Leisure,Agrement,9,http://www.fantasytravelofgreece.com/sites/default/files/blog/greece-coffee-culture/friends-coffee-talking-drinking-job-meeting-01.jpg,ALDEHYDE,MOSSY,MINERAL,MUSK,GREEN,WOODY,AQUATIC,CITRIC,HERBACIOUS,,,,
,,,night-out,Ieșire în oraș,,http://everyguyed.com/wp-content/uploads/2010/12/how-to-dress-for-a-night-out.jpg,AMBER,MINERAL,HERBACIOUS,LEATHER,FLORAL,CITRIC,GREEN,POWDERY,FRUITY,,,,
,,,Evening,Pentru seară,,http://brierdunn.com/wp-content/uploads/2014/01/Silver-Oak-outdoor-evening.jpg,ORIENTAL,SPICY,WOODY,MUSK,RESINOUS,AQUATIC,GRAIN,HERBACIOUS,CITRIC,GREEN,,,
,,,Daily-male,Pentru zi,,https://getthegist.ca/wp-content/uploads/2015/03/People_-Man-at-airport-looking-at-phone_tourist.jpg,CITRIC,GREEN,ALDEHYDE,AQUATIC,FRUITY,WOODY,SPICY,RESINOUS,LEATHER,TOBBACO,,,
,,,Sport,Pentru sport,,http://greatist.com/sites/default/files/styles/big_share/public/walking-vs-running-feature.jpg?itok=n9Ty0YN-,CITRIC,HERBACIOUS,AQUATIC,ALDEHYDE,FRUITY,WOODY,SPICY,AMBER,ORIENTAL,LEATHER,,,
,,,Business,Pentru birou,,http://businessetup.com/wp-content/uploads/2013/01/business-setup-in-dubai-with-difference.jpg,MUSK,LEATHER,RESINOUS,BEVERAGES,WOODY,CITRIC,HERBACIOUS,TOBBACO,BALSAMIC,SPICY,,,
,,,,,,,,,,,,,,,,,,,
14,color,Culoare preferată?,Red,roșu,7,,ORIENTAL,SPICY,ANIMALIC,AMBER,,HERBACIOUS,CITRIC,GREEN,AQUATIC,,,,
,,,Green,verde,,,HERBACIOUS,ORIENTAL,MOSSY,EARTHY,CITRIC,AQUATIC,FLORAL,MUSK,BEVERAGES,TOBBACO,,,
,,,Blue,albastru,,,AQUATIC,BALSAMIC,FLORAL,MINERAL,,ANIMALIC,ORIENTAL,SMOKY,LEATHER,RESINOUS,,,
,,,Pink,roz,,,FLORAL,POWDERY,ALDEHYDE,FRUITY,,BALSAMIC,SPICY,AMBER,WOODY,ORIENTAL,,,
,,,Black,negru,,,MINERAL,ORIENTAL,SPICY,TOBBACO,WOODY,POWDERY,FLORAL,ALDEHYDE,CITRIC,HERBACIOUS,,,
,,,White,alb,,,TEA,FLORAL,TEXTILE,SYNTHETIC,HERBACIOUS,GREEN,BALSAMIC,SPICY,AMBER,ORIENTAL,,,
,,,Purple,violet,,,ALDEHYDE,ORIENTAL,AMBER,BALSAMIC,MINERAL,AQUATIC,HERBACIOUS,GREEN,SYNTHETIC,CITRIC,,,
,,,Yellow,galben,,,GREEN,SYNTHETIC,CITRIC,FRUITY,RESINOUS,ANIMALIC,WOODY,BALSAMIC,MINERAL,LEATHER,,,
,,,Grey,gri,,,MINERAL,SPICY,SMOKY,LEATHER,,FLORAL,GREEN,CITRIC,HERBACIOUS,WOODY,,,
,,,Orange,oranj,,,CITRIC,GREEN,AMBER,FRUITY,FLORAL,BALSAMIC,SPICY,ORIENTAL,TOBBACO,WOODY,,,
,,,,,,,,,,,,,,,,,,,
15,vacation-spot,Locul preferat de vacanță?,Sea,Mare,7,,AQUATIC,CITRIC,FRUITY,ORIENTAL,ALDEHYDE,BALSAMIC,AMBER,LEATHER,MUSK,LEATHER,,,
,,,Mountains,Munte,,,MOSSY,ANIMALIC,ORIENTAL,SPICY,GREEN,CITRIC,HERBACIOUS,AQUATIC,FLORAL,GREEN,,,
,,,Crowded city,City-break,,,ALDEHYDE,FRUITY,EARTHY,GOURMANDY,,MUSK,WOODY,LEATHER,BALSAMIC,LEATHER,,,
,,,Quiet rural town,Rustic,,,GREEN,MINERAL,SMOKY,LEATHER,ANIMALIC,AQUATIC,CITRIC,HERBACIOUS,FLORAL,AMBER,,,
,,,,,,,,,,,,,,,,,,,
16,music,Muzica preferată?,Pop,Pop,6,,ALDEHYDE,AQUATIC,BEVERAGES,FRUITY,,POWDERY,CITRIC,MINERAL,LEATHER,WOODY,,,
,,,r-n-b,R&B,,,ANIMALIC,MUSK,BALSAMIC,SPICY,ORIENTAL,HERBACIOUS,EARTHY,AMBER,CITRIC,GREEN,,,
,,,Jazz-Indie,Jazz-Indie,,,ORIENTAL,AMBER,RESINOUS,TOBBACO,GOURMANDY,FRUITY,CITRIC,HERBACIOUS,EARTHY,GREEN,,,
,,,Rock-Punk,Rock-Punk,,,ORIENTAL,MUSK,SPICY,ANIMALIC,SMOKY,FLORAL,CITRIC,AQUATIC,HERBACIOUS,RESINOUS,,,
,,,Classical,Clasică,,,ALDEHYDE,AQUATIC,FRUITY,MUSK,SPICY,ORIENTAL,WOODY,EARTHY,ANIMALIC,BALSAMIC,,,
,,,,,,,,,,,,,,,,,,,
17,perfume-personality,Ce atitudine vrei să confere parfumul?,Sexy,Sexy,7,,LEATHER,MUSK,ORIENTAL,SPICY,WOODY,POWDERY,FLORAL,ALDEHYDE,CITRIC,HERBACIOUS,,,
,,,Mysterious,Misterios,,,ORIENTAL,SMOKY,FLORAL,AMBER,MUSK,WOODY,CITRIC,HERBACIOUS,FRUITY,RESINOUS,,,
,,,Elegant,Elegant,,,AQUATIC,LEATHER,ALDEHYDE,MUSK,TOBBACO,AMBER,ORIENTAL,SPICY,MINERAL,MOSSY,,,
,,,Flirty,Flirty,,,MUSK,ALDEHYDE,BALSAMIC,ANIMALIC,GOURMANDY,POWDERY,GREEN,HERBACIOUS,CITRIC,LEATHER,,,
,,,Clean,Curat,,,HERBACIOUS,TEA,TEXTILE,FLORAL,POWDERY,ORIENTAL,SPICY,ANIMALIC,BALSAMIC,MINERAL,,,
,,,Strong,Impunător,,,ORIENTAL,MUSK,ANIMALIC,SPICY,MINERAL,AQUATIC,FRUITY,POWDERY,ALDEHYDE,GREEN,,,
